iter	Passed	Remaining
0	56	56188
1	56	28204
2	56	18860
3	56	14186
4	57	11386
5	57	9520
6	57	8194
7	58	7194
8	58	6414
9	58	5795
10	58	5288
11	59	4866
12	59	4504
13	59	4193
14	59	3923
15	59	3687
16	60	3478
17	60	3293
18	60	3127
19	60	2977
20	60	2842
21	61	2719
22	61	2612
23	61	2514
24	62	2423
25	62	2335
26	62	2256
27	62	2181
28	63	2114
29	63	2049
30	63	1989
31	63	1931
32	64	1877
33	64	1827
34	64	1780
35	64	1735
36	65	1692
37	65	1652
38	65	1614
39	65	1578
40	66	1543
41	66	1510
42	66	1479
43	66	1449
44	66	1420
45	67	1393
46	67	1367
47	67	1341
48	67	1316
49	68	1292
50	68	1269
51	68	1247
52	68	1226
53	68	1206
54	69	1187
55	69	1168
56	69	1150
57	69	1133
58	70	1116
59	70	1100
60	70	1084
61	70	1069
62	70	1054
63	71	1040
64	71	1027
65	71	1014
66	71	1001
67	72	988
68	72	977
69	72	965
70	72	954
71	73	942
72	73	931
73	73	920
74	73	909
75	74	900
76	74	890
77	74	881
78	74	871
79	74	862
80	75	853
81	75	843
82	75	833
83	75	825
84	75	816
85	76	808
86	76	800
87	76	793
88	76	785
89	76	778
90	77	770
91	77	763
92	77	756
93	77	749
94	77	742
95	78	735
96	78	729
97	78	722
98	78	716
99	78	710
100	79	704
101	79	698
102	79	692
103	79	686
104	79	681
105	80	676
106	80	671
107	80	666
108	80	661
109	81	656
110	81	651
111	81	646
112	81	642
113	82	637
114	82	632
115	82	628
116	82	623
117	82	619
118	83	614
119	83	610
120	83	606
121	83	601
122	83	597
123	84	593
124	84	589
125	84	585
126	84	581
127	84	578
128	85	574
129	85	570
130	85	567
131	85	563
132	85	560
133	86	556
134	86	553
135	86	550
136	86	547
137	87	544
138	87	541
139	87	538
140	87	534
141	87	531
142	88	528
143	88	524
144	88	521
145	88	518
146	88	516
147	89	513
148	89	510
149	89	507
150	89	505
151	90	503
152	90	500
153	90	497
154	90	494
155	90	491
156	91	489
157	91	486
158	91	483
159	91	481
160	91	478
161	92	476
162	92	473
163	92	471
164	92	469
165	92	467
166	93	464
167	93	462
168	93	460
169	93	458
170	94	456
171	94	454
172	94	451
173	94	449
174	94	447
175	95	445
176	95	443
177	95	441
178	95	439
179	96	437
180	96	435
181	96	433
182	96	431
183	96	429
184	97	427
185	97	425
186	97	423
187	97	421
188	97	420
189	98	418
190	98	416
191	98	414
192	98	412
193	98	411
194	99	409
195	99	407
196	99	405
197	99	404
198	100	402
199	100	401
200	100	399
201	100	397
202	100	395
203	101	394
204	101	392
205	101	391
206	101	389
207	101	387
208	102	386
209	102	384
210	102	383
211	102	381
212	102	380
213	103	378
214	103	377
215	103	375
216	103	374
217	103	372
218	104	371
219	104	369
220	104	368
221	104	367
222	105	365
223	105	364
224	105	363
225	105	361
226	105	360
227	106	359
228	106	357
229	106	356
230	106	355
231	107	354
232	107	353
233	107	352
234	107	350
235	107	349
236	108	348
237	108	347
238	108	345
239	108	344
240	109	343
241	109	342
242	109	340
243	109	339
244	109	338
245	110	337
246	110	336
247	110	334
248	110	334
249	111	333
250	111	332
251	111	330
252	111	329
253	111	328
254	112	327
255	112	326
256	112	325
257	112	324
258	112	323
259	113	322
260	113	321
261	113	320
262	114	319
263	114	318
264	114	317
265	114	316
266	114	315
267	115	314
268	115	313
269	115	312
270	115	311
271	116	310
272	116	309
273	116	308
274	116	307
275	117	306
276	117	306
277	117	305
278	117	304
279	117	303
280	118	302
281	118	301
282	118	300
283	118	299
284	118	298
285	119	297
286	119	296
287	119	295
288	119	294
289	120	294
290	120	293
291	120	292
292	120	291
293	120	290
294	121	289
295	121	288
296	121	287
297	121	286
298	121	285
299	122	285
300	122	284
301	122	283
302	122	282
303	123	281
304	123	281
305	123	280
306	123	279
307	123	278
308	124	277
309	124	276
310	124	276
311	124	275
312	125	274
313	125	273
314	125	272
315	125	271
316	125	271
317	126	270
318	126	269
319	126	268
320	126	268
321	126	267
322	127	266
323	127	266
324	127	265
325	128	264
326	128	263
327	128	263
328	128	262
329	128	261
330	128	260
331	129	259
332	129	259
333	129	258
334	129	257
335	129	256
336	130	256
337	130	255
338	130	254
339	130	253
340	130	253
341	131	252
342	131	251
343	131	250
344	131	250
345	131	249
346	132	248
347	132	248
348	132	247
349	132	246
350	133	245
351	133	245
352	133	244
353	133	243
354	133	243
355	134	242
356	134	241
357	134	241
358	134	240
359	134	239
360	135	239
